run_name,metric_type,step,value
2026-03-17_NaiveBaseline,train_loss,8150,2.040100
2026-03-17_NaiveBaseline,train_loss,8200,2.107600
2026-03-17_NaiveBaseline,train_loss,8250,2.095100
2026-03-17_NaiveBaseline,train_loss,8300,2.224400
2026-03-17_NaiveBaseline,train_loss,8350,2.068100
2026-03-17_NaiveBaseline,train_loss,8400,2.149400
2026-03-17_NaiveBaseline,train_loss,8450,2.127800
2026-03-17_NaiveBaseline,train_loss,8500,2.028900
2026-03-17_NaiveBaseline,train_loss,8550,2.046500
2026-03-17_NaiveBaseline,train_loss,8600,2.068200
2026-03-17_NaiveBaseline,train_loss,8650,2.271700
2026-03-17_NaiveBaseline,train_loss,8700,2.179500
2026-03-17_NaiveBaseline,train_loss,8750,2.049200
2026-03-17_NaiveBaseline,train_loss,8800,2.110000
2026-03-17_NaiveBaseline,train_loss,8850,2.432300
2026-03-17_NaiveBaseline,train_loss,8900,2.101600
2026-03-17_NaiveBaseline,train_loss,8950,2.029000
2026-03-17_NaiveBaseline,train_loss,9000,2.111900
2026-03-17_NaiveBaseline,train_loss,9050,2.082600
2026-03-17_NaiveBaseline,train_loss,9100,2.042700
2026-03-17_NaiveBaseline,train_loss,9150,2.120100
2026-03-17_NaiveBaseline,train_loss,9200,2.149000
2026-03-17_NaiveBaseline,train_loss,9250,2.122100
2026-03-17_NaiveBaseline,train_loss,9300,2.455000
2026-03-17_NaiveBaseline,train_loss,9350,2.038400
2026-03-17_NaiveBaseline,train_loss,9400,2.073600
2026-03-17_NaiveBaseline,train_loss,9450,2.109600
2026-03-17_NaiveBaseline,train_loss,9500,2.107000
2026-03-17_NaiveBaseline,train_loss,9550,2.024900
2026-03-17_NaiveBaseline,train_loss,9600,2.114100
2026-03-17_NaiveBaseline,train_loss,9650,2.018300
2026-03-17_NaiveBaseline,train_loss,9700,2.148200
2026-03-17_NaiveBaseline,train_loss,9750,2.181100
2026-03-17_NaiveBaseline,train_loss,9800,2.101100
2026-03-17_NaiveBaseline,train_loss,9850,2.113400
2026-03-17_NaiveBaseline,train_loss,9900,2.049700
2026-03-17_NaiveBaseline,train_loss,9950,2.198900
2026-03-17_NaiveBaseline,train_loss,10000,2.198200
2026-03-17_NaiveBaseline,train_loss,10050,2.094000
2026-03-17_NaiveBaseline,train_loss,10100,2.127700
2026-03-17_NaiveBaseline,train_loss,10150,2.089600
2026-03-17_NaiveBaseline,train_loss,10200,2.064200
2026-03-17_NaiveBaseline,train_loss,10250,2.062700
2026-03-17_NaiveBaseline,train_loss,10300,2.219100
2026-03-17_NaiveBaseline,train_loss,10350,2.135400
2026-03-17_NaiveBaseline,train_loss,10400,2.070500
2026-03-17_NaiveBaseline,train_loss,10450,2.066300
2026-03-17_NaiveBaseline,train_loss,10500,2.133400
2026-03-17_NaiveBaseline,train_loss,10550,2.193100
2026-03-17_NaiveBaseline,train_loss,10600,2.097800
2026-03-17_NaiveBaseline,train_loss,10650,2.067600
2026-03-17_NaiveBaseline,train_loss,10700,2.233300
2026-03-17_NaiveBaseline,train_loss,10750,2.166100
2026-03-17_NaiveBaseline,train_loss,10800,2.096600
2026-03-17_NaiveBaseline,train_loss,10850,2.070800
2026-03-17_NaiveBaseline,train_loss,10900,2.166600
2026-03-17_NaiveBaseline,train_loss,10950,2.107900
2026-03-17_NaiveBaseline,train_loss,11000,2.077400
2026-03-17_NaiveBaseline,train_loss,11050,2.128800
2026-03-17_NaiveBaseline,train_loss,11100,2.080100
2026-03-17_NaiveBaseline,train_loss,11150,1.874300
2026-03-17_NaiveBaseline,train_loss,11200,2.147100
2026-03-17_NaiveBaseline,train_loss,11250,2.204600
2026-03-17_NaiveBaseline,train_loss,11300,2.095700
2026-03-17_NaiveBaseline,train_loss,11350,2.096300
2026-03-17_NaiveBaseline,train_loss,11400,2.322300
2026-03-17_NaiveBaseline,train_loss,11450,2.072400
2026-03-17_NaiveBaseline,train_loss,11500,2.119700
2026-03-17_NaiveBaseline,train_loss,11550,2.097500
2026-03-17_NaiveBaseline,train_loss,11600,2.109100
2026-03-17_NaiveBaseline,train_loss,11650,2.123500
2026-03-17_NaiveBaseline,train_loss,11700,2.079500
2026-03-17_NaiveBaseline,train_loss,11750,2.066200
2026-03-17_NaiveBaseline,train_loss,11800,2.076500
2026-03-17_NaiveBaseline,train_loss,11850,2.120200
2026-03-17_NaiveBaseline,train_loss,11900,2.102900
2026-03-17_NaiveBaseline,train_loss,11950,2.151200
2026-03-17_NaiveBaseline,train_loss,12000,2.181400
2026-03-17_NaiveBaseline,train_loss,12050,2.108500
